game,current players,peak today
Counter-Strike: Global Offensive,"897,316","897,316"
Dota 2,"654,259","656,593"
PLAYERUNKNOWN'S BATTLEGROUNDS,"393,211","393,211"
Fall Guys,"160,758","172,213"
Grand Theft Auto V,"140,000","140,150"
Tom Clancy's Rainbow Six Siege,"100,680","101,322"
Football Manager 2020,"90,787","90,787"
Source SDK Base 2013 Multiplayer,"76,606","92,721"
Team Fortress 2,"72,258","92,704"
Destiny 2,"71,550","75,951"
Warframe,"67,500","67,500"
ARK: Survival Evolved,"65,281","65,281"
Rust,"60,841","71,164"
Monster Hunter: World,"55,194","56,600"
Dead by Daylight,"53,381","54,750"
NBA 2K20,"48,099","48,099"
Wallpaper Engine,"46,927","47,424"
Sid Meier's Civilization VI,"44,509","45,827"
Rocket League,"40,746","63,920"
Risk of Rain 2,"35,844","43,058"
